Term,Capecitabine_NES,Fluorouracil_NES,Toremifene_NES,Fulvestrant_NES,Lapatinib_NES,Thiotepa_NES,n_drugs,Mean_NES,Weakest_NES
WP_NRF2_PATHWAY,,,2.798402245547308,2.2018519149654896,2.521113742510964,,3,2.507122634341254,2.2018519149654896
WP_NUCLEAR_RECEPTORS_METAPATHWAY,,,2.5533713001591942,2.0867482562896584,2.400574948896386,,3,2.346898168448413,2.0867482562896584
WP_CLEAR_CELL_RENAL_CELL_CARCINOMA_PATHWAYS,,,2.210603837100056,1.8388064173959648,2.3636357131466506,,3,2.1376819892142236,1.8388064173959648
WP_EXTRAFOLLICULAR_AND_FOLLICULAR_B_CELL_ACTIVATION_BY_SARSCOV2,,,2.3948849719830023,1.8296613859988022,1.9130924696272564,,3,2.0458796092030203,1.8296613859988022
WP_MAPK_SIGNALING,,,2.1157926411143935,1.8599149223024425,1.820829254242343,,3,1.9321789392197264,1.820829254242343
KEGG_MAPK_SIGNALING_PATHWAY,,,2.024823659828487,1.7880696440040171,1.7612461377758577,,3,1.8580464805361203,1.7612461377758577
REACTOME_HEMOSTASIS,,,2.0654315330902766,1.7045626259563904,1.7577279984655558,,3,1.8425740525040741,1.7045626259563904
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,,,1.6700738410523852,1.5778936603492664,1.643750961797273,,3,1.6305728210663082,1.5778936603492664
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,,,2.4138240495268124,,2.2855459099211948,,2,2.3496849797240036,2.2855459099211948
REACTOME_CARDIAC_CONDUCTION,,,2.2712225428722648,2.087017574183373,,,2,2.179120058527819,2.087017574183373
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,,,2.0172009453052944,,2.298955750074956,,2,2.1580783476901253,2.0172009453052944
REACTOME_KEAP1_NFE2L2_PATHWAY,,,2.1944572712599735,,2.0530979604296604,,2,2.123777615844817,2.0530979604296604
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,,,2.1508437647424996,,2.038809342807939,,2,2.0948265537752193,2.038809342807939
REACTOME_MUSCLE_CONTRACTION,,,2.1419597255872866,1.9015524597417983,,,2,2.0217560926645426,1.9015524597417983
WP_APOPTOSISRELATED_NETWORK_DUE_TO_ALTERED_NOTCH3_IN_OVARIAN_CANCER,,,2.116973939652003,,1.8796949643266117,,2,1.9983344519893074,1.8796949643266117
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,,,2.078199747024647,,1.8955928068484864,,2,1.9868962769365668,1.8955928068484864
REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR,,,2.028912555862765,,1.924474838634412,,2,1.9766936972485887,1.924474838634412
REACTOME_KERATINIZATION,,,,1.719152468401839,2.2206187594441418,,2,1.9698856139229903,1.719152468401839
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,,,2.1108167160909277,1.7617341586178372,,,2,1.9362754373543825,1.7617341586178372
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA,,,2.100593064865682,1.692613945326807,,,2,1.8966035050962446,1.692613945326807
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,,,,1.719152468401839,1.9862989401618723,,2,1.8527257042818557,1.719152468401839
WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,,,,1.9238718490112812,1.7607821749063988,,2,1.84232701195884,1.7607821749063988
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,,,1.970769693206709,1.648517606812342,,,2,1.8096436500095254,1.648517606812342
WP_EGFEGFR_SIGNALING,,,1.8099436510453057,1.7373851130082159,,,2,1.7736643820267608,1.7373851130082159
WP_ECTODERM_DIFFERENTIATION,,,1.505611120828525,1.9995952449086196,,,2,1.7526031828685724,1.505611120828525
PID_RB_1PATHWAY,,,1.4730805267711766,1.8677946249059918,,,2,1.670437575838584,1.4730805267711766
REACTOME_PEPTIDE_HORMONE_METABOLISM,,,1.5856577643133587,1.7397703467511236,,,2,1.6627140555322413,1.5856577643133587
PID_ATF2_PATHWAY,,,1.6028201125708383,,1.6979306070645936,,2,1.650375359817716,1.6028201125708383
WP_NRP1TRIGGERED_SIGNALING_IN_PANCREATIC_CANCER,,,1.5368133739991399,1.722923483509431,,,2,1.6298684287542855,1.5368133739991399
REACTOME_DRUG_ADME,,,1.5434273690868965,,1.649605704882266,,2,1.5965165369845813,1.5434273690868965
WP_PHOTODYNAMIC_THERAPYINDUCED_NFE2L2_NRF2_SURVIVAL_SIGNALING,,,1.4725248924654222,1.625104798816862,,,2,1.5488148456411421,1.4725248924654222
WP_FERROPTOSIS,,,2.351465439266136,,,,1,2.351465439266136,2.351465439266136
REACTOME_METABOLISM_OF_STEROIDS,,,2.2545140900403653,,,,1,2.2545140900403653,2.2545140900403653
REACTOME_METABOLISM_OF_LIPIDS,,,2.240298194560943,,,,1,2.240298194560943,2.240298194560943
WP_FOCAL_ADHESION_PI3KAKTMTORSIGNALING,,,,2.2330072009389372,,,1,2.2330072009389372,2.2330072009389372
WP_BREAST_CANCER_PATHWAY,,,,2.18009409763491,,,1,2.18009409763491,2.18009409763491
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,,,2.102460800168614,,,,1,2.102460800168614,2.102460800168614
KEGG_MELANOMA,,,,2.09444058251537,,,1,2.09444058251537,2.09444058251537
KEGG_HEMATOPOIETIC_CELL_LINEAGE,,,2.086419347881505,,,,1,2.086419347881505,2.086419347881505
WP_ALZHEIMERS_DISEASE,,,2.0829333451539975,,,,1,2.0829333451539975,2.0829333451539975
WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,,,2.0829333451539975,,,,1,2.0829333451539975,2.0829333451539975
WP_ADHD_AND_AUTISM_ASD_PATHWAYS,,,2.0344081808549883,,,,1,2.0344081808549883,2.0344081808549883
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY_IN_HEPATOCYTES,,,1.9882824428786872,,,,1,1.9882824428786872,1.9882824428786872
WP_CHOLESTEROL_METABOLISM,,,1.980795440721775,,,,1,1.980795440721775,1.980795440721775
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES,,,,,1.9657124326409043,,1,1.9657124326409043,1.9657124326409043
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,,,1.9606463891945625,,,,1,1.9606463891945625,1.9606463891945625
KEGG_DILATED_CARDIOMYOPATHY,,,1.9309113651463494,,,,1,1.9309113651463494,1.9309113651463494
REACTOME_AUTOPHAGY,,,,1.9064467557354279,,,1,1.9064467557354279,1.9064467557354279
PID_SHP2_PATHWAY,,,,,1.873656109850559,,1,1.873656109850559,1.873656109850559
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,,,1.8611054100717683,,,,1,1.8611054100717683,1.8611054100717683
KEGG_PANCREATIC_CANCER,,,,1.830659083013023,,,1,1.830659083013023,1.830659083013023
WP_PANCREATIC_ADENOCARCINOMA_PATHWAY,,,,1.830659083013023,,,1,1.830659083013023,1.830659083013023
PID_HIF1_TFPATHWAY,,,1.808755511463229,,,,1,1.808755511463229,1.808755511463229
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,,,1.7996055324089189,,,,1,1.7996055324089189,1.7996055324089189
WP_CANCER_PATHWAYS,,,,1.7869902996545923,,,1,1.7869902996545923,1.7869902996545923
KEGG_RENAL_CELL_CARCINOMA,,,1.7855132353901597,,,,1,1.7855132353901597,1.7855132353901597
WP_PI3KAKT_SIGNALING,,,,1.7488519919991943,,,1,1.7488519919991943,1.7488519919991943
WP_HDAC6_INTERACTIONS_IN_THE_CENTRAL_NERVOUS_SYSTEM,,,1.7401529241508635,,,,1,1.7401529241508635,1.7401529241508635
WP_IL18_SIGNALING,,,1.7236842583171827,,,,1,1.7236842583171827,1.7236842583171827
WP_SELENIUM_MICRONUTRIENT_NETWORK,,,1.704498203159144,,,,1,1.704498203159144,1.704498203159144
WP_PRADERWILLI_AND_ANGELMAN_SYNDROME,,,,1.7004620210717838,,,1,1.7004620210717838,1.7004620210717838
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,,,,1.6858455178463008,,,1,1.6858455178463008,1.6858455178463008
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT,,,,,1.6603426264565535,,1,1.6603426264565535,1.6603426264565535
REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS,,,,1.6365588682601837,,,1,1.6365588682601837,1.6365588682601837
WP_FATTY_ACIDS_AND_LIPOPROTEINS_TRANSPORT_IN_HEPATOCYTES,,,1.6153209176238954,,,,1,1.6153209176238954,1.6153209176238954
KEGG_GNRH_SIGNALING_PATHWAY,,,1.6044624503501035,,,,1,1.6044624503501035,1.6044624503501035
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,,,1.5994138879017548,,,,1,1.5994138879017548,1.5994138879017548
REACTOME_SENSORY_PERCEPTION,,,1.5947114307765489,,,,1,1.5947114307765489,1.5947114307765489
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,,,1.5932672987476126,,,,1,1.5932672987476126,1.5932672987476126
WP_PHOTODYNAMIC_THERAPYINDUCED_HIF1_SURVIVAL_SIGNALING,,,,,1.59313290323619,,1,1.59313290323619,1.59313290323619
PID_INTEGRIN1_PATHWAY,,,1.5924039850693452,,,,1,1.5924039850693452,1.5924039850693452
REACTOME_DEVELOPMENTAL_BIOLOGY,,,,1.5921199207002827,,,1,1.5921199207002827,1.5921199207002827
PID_INTEGRIN3_PATHWAY,,,1.586703704442317,,,,1,1.586703704442317,1.586703704442317
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,,,1.5795314368224982,,,,1,1.5795314368224982,1.5795314368224982
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,,,1.5787324987548232,,,,1,1.5787324987548232,1.5787324987548232
REACTOME_MET_PROMOTES_CELL_MOTILITY,,,,1.5770887969248526,,,1,1.5770887969248526,1.5770887969248526
REACTOME_SIGNALING_BY_MET,,,,1.5770887969248526,,,1,1.5770887969248526,1.5770887969248526
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,,,1.5758396112809037,,,,1,1.5758396112809037,1.5758396112809037
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,,,1.5748608105987212,,,,1,1.5748608105987212,1.5748608105987212
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,,,1.5664648720411851,,,,1,1.5664648720411851,1.5664648720411851
KEGG_CHRONIC_MYELOID_LEUKEMIA,,,1.5649718255657339,,,,1,1.5649718255657339,1.5649718255657339
REACTOME_VISUAL_PHOTOTRANSDUCTION,,,1.5646821146980212,,,,1,1.5646821146980212,1.5646821146980212
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS,,,1.5499785086041538,,,,1,1.5499785086041538,1.5499785086041538
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,,,1.5459307670784839,,,,1,1.5459307670784839,1.5459307670784839
PID_P73PATHWAY,,,,1.5419010265640394,,,1,1.5419010265640394,1.5419010265640394
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,,,1.5311538322998663,,,,1,1.5311538322998663,1.5311538322998663
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,,,1.4993107116260485,,,,1,1.4993107116260485,1.4993107116260485
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS,,,1.4993107116260485,,,,1,1.4993107116260485,1.4993107116260485
PID_P53_DOWNSTREAM_PATHWAY,,,1.4845892530155247,,,,1,1.4845892530155247,1.4845892530155247
PID_INTEGRIN2_PATHWAY,,,1.4807183480225414,,,,1,1.4807183480225414,1.4807183480225414
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,,,1.4739289304387126,,,,1,1.4739289304387126,1.4739289304387126
WP_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY,,,1.4566634436156658,,,,1,1.4566634436156658,1.4566634436156658
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,,,1.4566634436156658,,,,1,1.4566634436156658,1.4566634436156658
